lgcode_iso3,Name,Family,Genus,Macroarea,title,author,year,pages_sum,inlg_iso3,hhtype
imn,Imonda,Border,Border,Papunesia,"Imonda, a Papuan Language ",Walter Seiler,1985,262,eng,grammar
szp,Inanwatan,South Bird's Head,Inanwatan,Papunesia,"A short grammar of Inanwatan: an endangered language of the Bird's head of Papua, Indonesia ",Lourens J. de Vries,2004,168,eng,grammar_sketch
pmy,Indonesian (Papuan),Austronesian,Malayo-Sumbawan,Papunesia,A grammar of Papuan Malay,Angela Kluge,2017,770,eng,grammar
srl,Isirawa,Tor-Kwerba,Isirawa,Papunesia,Isirawa Clauses,"Oguri, Hiroko ",1985,16,eng,grammar_sketch
tbd,Kaki Ae,Tate,Tate,Papunesia,The Kaki Ae Language,John M. Clifton,1997,64,eng,grammar_sketch
kms,Kamasau,Torricelli,Marienberg,Papunesia,Kamasau (Wand Tuan) Grammar: Morpheme to Discourse,"Sanders, Arden G. and Sanders, Joy ",1994,108,eng,grammar_sketch
kbx,Kambot,Keram,Ap Ma,Papunesia,"Some stratificational insights concerning Botin (Kambot), a Papuan Language ",Martha L. Wade,1984,349,eng,grammar
kcd,Kanum (Ngkâlmpw),Yam,Kanum,Papunesia,The Ngkolmpu Language with special reference to distributed exponence,Matthew Carroll,2017,428,eng,grammar
pam,Kapampangan,Austronesian,Central Luzon,Papunesia,Outline of a generative semantic description of Pampangan,Andrew Gonzalez,1971,685,eng,grammar
yuj,Karkar-Yuri,Pauwasi,Eastern Pauwasi,Papunesia,Karkar Grammar Essentials,Veda Rigden,no date,132,eng,grammar_sketch
geb,Kire,Ramu-Lower Sepik,Ruboni,Papunesia,"The language of the Kire people, Bogia, Madang, New Guinea ",John M. Stanhope,1972,23,eng,grammar_sketch
kpr,Korafe,Trans-New Guinea,Binanderean,Papunesia,The interface between syntax and discourse in Korafe: a Papuan language of Papua New Guinea,"Farr, Cynthia J. M. ",1996,671,eng,grammar
kto,Kuot,Kuot,Kuot,Papunesia,Topics in the Grammar of Kuot,Eva Lindström,2002,264,eng,grammar
kwe,Kwerba,Tor-Kwerba,Kwerba,Papunesia,An Overview of Kwerba Verb Morphology,James A. de Vries and Sandra A. de Vries,1997,35,eng,grammar_sketch
kwo,Kwomtari,Kwomtari,Kwomtari,Papunesia,Kwomtari Phonology and Grammar Essentials,Murray Honsberger and Carol Honsberger and Ian Tupper,2008,197,eng,grammar
lvk,Lavukaleve,Solomons East Papuan,Lavukaleve,Papunesia,A Grammar of Lavukaleve,Angela Terrill,2003,585,eng,grammar
zrs,Mairasi,Mairasic,Mairasic,Papunesia,Tentative Mairasi Grammar,"Peckham, Lloyd ",2012,278,eng,grammar_sketch
mkz,Makasae,Greater West Bomberai,East Timor,Papunesia,A grammar of Makalero: A Papuan language of East Timor,Juliette Huber,2011,700,eng,grammar
mle,Manambu,Sepik,Ndu,Papunesia,"The Manambu language of East Sepik, Papua New Guinea ",Alexandra Y. Aikhenvald,2008,727,eng,grammar
mrz,Marind,Trans-New Guinea,Marind-Yaqay,Papunesia,A grammar of Coastal Marind,Bruno Olsson,2021,608,eng,grammar
ayz,Maybrat,Maybrat,Maybrat,Papunesia,"A Grammar of Maybrat: a language of Bird's Head, Irian Jaya, Indonesia ","Dol, Philomena Hedwig ",1999,405,eng,grammar
nux,Mehek,Sepik,Tama Sepik,Papunesia,A grammar of Mehek,Adam Hatfield,2016,644,eng,grammar
ulk,Meryam Mir,Eastern Trans-Fly,Eastern Trans-Fly,Papunesia,A Sketch Grammar of Meryam Mer,Nick Piper,2013 [1989],240,eng,grammar_sketch
mej,Meyah,East Bird's Head,East Bird's Head,Papunesia,The Meyah Language of Papua,Gilles Gravelle,2004,456,eng,grammar
mpt,Mian,Trans-New Guinea,Ok,Papunesia,A Grammar of Mian,"Fedden, Sebastian Olcher ",2011,629,eng,grammar
fqs,Momu,Baibai-Fas,Baibai-Fas,Papunesia,"A grammar of Momu, a language of Papua New Guinea ",Thomas Honeyman,2017,700,eng,grammar
mok,Moraori,Moraori,Moraori,Papunesia,"Projecting morphology and agreement in Marori, an isolate of southern New Guinea ","Arka, I Wayan ",2012,24,eng,grammar_sketch
siw,Motuna,South Bougainville,South Bougainville,Papunesia,"A Grammar of Motuna (Bougainville, Papua New Guinea) ",Masayuki Onishi,2011,593,eng,grammar
akc,Mpur,Mpur,Mpur,Papunesia,A Sketch of Mpur,Cecilia Odé,2002,63,eng,grammar_sketch
nce,Nagatman,Yale,Yale,Papunesia,Yade grammar essentials,"Campbell, Carl and Campbell, Jody ",1987,110,eng,grammar_sketch
nir,Nimboran,Nimboran,Nimboran,Papunesia,The Nimboran Language,"Anceaux, Johannes Cornelis ",1965,257,eng,grammar
afz,Obokuitai,Lakes Plain,East Tariku,Papunesia,Obokuitai grammar overview,"Jenison, D. Scott ",1995,66,eng,grammar_sketch
ong,Olo,Torricelli,Central Wapei,Papunesia,Reference Management in Olo: A Cognitive Perspective,William E. Staley,1995,263,eng,grammar
pau,Palauan,Austronesian,Palauan,Papunesia,Handbook of Palauan Grammar,"Josephs, Lewis S. ","1997, 1999 ",900,eng,grammar
byx,Qaqet,Baining,Baining,Papunesia,A Grammar of Qaqet,Birgit Hellwig,2019,501,eng,grammar
